src_subject_id,session_id,run_num,tDCS_Protocol,param_task_name,temp_Medoc,stimulation_temp,param_trigger_onset,param_start_biopac,Task_duration,Ramp_up_down,start_main,MRtriger_to_main,anchor_start_time,event_cue_onset,event_cue_biopac,end_event_cue,duration_cue,predetermined_duration_cue,ISI01_onset,ISI01_biopac,ISI01_difference_between_onset_biopac,end_jitter_before_stimulation,ISI_jitter_before_stimulation_duration,predetermined_pre_stimulation_durations,delay_between_medoc,event03_stimulus_displayonset,event03_stimulus_biopac,end_stimulation,duration_stimulation,predetermined_heat_stimulation,event03_stimulus_P_trigger,ISI02_onset,ISI02_biopac,end_jitter_after_stimulation,ISI_jitter_after_stimulation_duration,predetermined_post_stim_fixation_durations,event_rating_actual_displayonset,event_rating_actual_RT,event_rating_actual_responseonset,event_rating_actual_biopac,event_rating_actual_angle,ISI03_onset,ISI03_biopac,end_jitter_after_rating,ISI_jitter_after_rating_duration,predetermined_post_rating_fixation_durations,param_end_instruct_onset,param_end_biopac,param_experiment_duration
31,1,2,tDCS,pain,167,47,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859253.5012627,2859253.5094957,2859253.5098503,2859254.5016284,0.991778099909425,1,2859254.5070932,2859254.5075079,0.000414699781686068,2859258.5015944,3.99450120003894,4,0.0299353003501892,2859258.5315571,2859258.5317768,2859271.5016607,13.0003959001042,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859271.508823,2859271.5092276,2859279.0016638,7.49284079996869,7.5,2859279.0141872,2.80262679979205,2859281.816814,2859279.0143714,143.32099667713,2859286.0178171,2859286.0181998,2859293.5016874,7.48387029999867,7.5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,149,45.2,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859293.5174071,2859293.5229944,2859293.5232562,2859294.5177662,0.994510000105947,1,2859294.5205925,2859294.520932,0.000339500140398741,2859296.5177852,1.99719269992784,2,0.0542112002149224,2859296.571899,2859296.5720793,2859309.5178007,13.0003915000707,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859309.5229016,2859309.5232282,2859315.517777,5.99487539986148,6,2859315.5254186,1.42762839980423,2859316.953047,2859315.5254585,2.80756508380095,2859322.5299889,2859322.5303031,2859333.51779,10.9878011001274,11,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,167,47,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859333.5322608,2859333.5374123,2859333.5376434,2859334.5323247,0.994681300129741,1,2859334.5391487,2859334.5393939,0.000245200004428625,2859339.5323253,4.9931765999645,5,0.0453560003079474,2859339.5778266,2859339.5779419,2859352.5323343,13.000071100425,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859352.5385864,2859352.5388683,2859361.5323228,8.99373639980331,9,2859361.538228,1.42343819979578,2859362.9616662,2859361.5382652,9.71325102494028,2859368.5426102,2859368.5428524,2859373.53231,4.98969980003312,5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,149,45.2,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859373.5468596,2859373.5518207,2859373.5520584,2859374.5469126,0.994854199700058,1,2859374.5535914,2859374.5538888,0.000297400169074535,2859376.5468974,1.99330600025132,2,0.00894659990444779,2859376.5560022,2859376.5561145,2859389.5469132,13.0000506001525,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859389.5517424,2859389.5520069,2859398.0469127,8.49517029989511,8.5,2859398.0546435,1.22725809970871,2859399.2819016,2859398.0546838,4.20728355784482,2859405.0589426,2859405.0591938,2859413.5469161,8.48797350004315,8.5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,149,45.2,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859413.5616278,2859413.5661808,2859413.5664275,2859414.561678,0.995250499807298,1,2859414.5679363,2859414.5681989,0.000262600369751453,2859417.5616788,2.99374249996617,3,0.0217376002110541,2859417.5835548,2859417.5836509,2859430.5616992,13.0000690999441,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859430.5679032,2859430.5681623,2859436.0616843,5.49378110002726,5.5,2859436.0695629,1.50681219995022,2859437.5763751,2859436.0696153,11.3792139148767,2859443.0721618,2859443.072373,2859453.5616825,10.4895206997171,10.5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,167,47,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859453.5759206,2859453.5785941,2859453.5788077,2859454.5759641,0.997156400233507,1,2859454.580464,2859454.5806963,0.000232300255447626,2859459.0759745,4.49551049992442,4.5,0.0338165001012385,2859459.1099168,2859459.1100655,2859472.0759733,13.000049199909,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859472.0788683,2859472.0791133,2859477.0759677,4.99709940003231,5,2859477.08412076,1.06825233530253,2859478.1523731,2859477.0845259,153.9820273134,2859484.0882462,2859484.0884562,2859493.5759744,9.48772820038721,9.5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,149,45.2,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859493.5899072,2859493.5930015,2859493.5932497,2859494.5899586,0.996708899736404,1,2859494.5948123,2859494.5950475,0.000235199928283691,2859497.5899527,2.99514039978385,3,0.0301621998660266,2859497.620279,2859497.620392,2859510.5899599,13.0000502998009,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859510.594881,2859510.5951411,2859519.0899621,8.49508110014722,8.5,2859519.0977139,1.21461740043014,2859520.3123313,2859519.0977611,18.8441974309569,2859526.1020452,2859526.102255,2859533.5899524,7.48790720012039,7.5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,167,47,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859533.604636,2859533.6074375,2859533.6076823,2859534.6046815,0.996999199967831,1,2859534.6092082,2859534.6095038,0.000295599922537804,2859536.604687,1.99547880003229,2,0.00909260008484125,2859536.6139253,2859536.6140244,2859549.6046904,13.0000518998131,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859549.6115085,2859549.6117683,2859556.6046886,6.9931801003404,7,2859556.6117288,1.18122769985348,2859557.7929565,2859556.6117772,2.16107948822637,2859563.6160607,2859563.6162937,2859573.6046911,9.98863040003926,10,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,167,47,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859573.6180048,2859573.6217579,2859573.6219764,2859574.6180437,0.99606729997322,1,2859574.6236316,2859574.6238726,0.000241000205278397,2859577.6180619,2.99443030031398,3,0.0192782003432512,2859577.6375156,2859577.6376425,2859590.6180604,13.0000527999364,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859590.6235527,2859590.6237902,2859597.1180557,6.49450299981982,6.5,2859597.1228067,2.03699829988182,2859599.159805,2859597.1228478,134.004438949692,2859604.128426,2859604.1286461,2859613.618065,9.48963900003582,9.5,2859733.6812008,2859733.6816172,487.981363500003
31,1,2,tDCS,pain,149,45.2,2859245.6998373,2859245.7002314,10,2,2859253.5005144,7.80067710019648,2859613.6330842,2859613.6373481,2859613.6375974,2859614.6331356,0.995538199786097,1,2859614.6392107,2859614.6394705,0.000259799882769585,2859619.1331313,4.49392060004175,4.5,0.0238053998909891,2859619.1571019,2859619.1572377,2859632.1331372,13.0000503999181,13,Command Recieved: TRIGGER_AND_Response: RESULT_OK,2859632.1377157,2859632.1379798,2859637.1331396,4.9954238999635,5,2859637.1426115,1.81987460004166,2859638.9624861,2859637.1426669,35.1341930569156,2859644.1451604,2859644.1453756,2859653.6331319,9.48797150002792,9.5,2859733.6812008,2859733.6816172,487.981363500003
